Fecha analizada	Comportamiento de la accion	Ajuste Cuadratico de Close
2021-04-29	SUBE	0.0
2021-04-30	BAJA	0.0
2021-05-03	SUBE	4.0
2021-05-04	SUBE	0.0
2021-05-05	SUBE	0.0
2021-05-06	SUBE	0.0
2021-05-07	BAJA	0.0
2021-05-10	SUBE	0.0
2021-05-11	BAJA	0.0
2021-05-12	SUBE	8.0
2021-05-13	SUBE	0.0
2021-05-14	BAJA	0.0
2021-05-17	BAJA	0.0
2021-05-18	BAJA	0.0
2021-05-19	BAJA	-1.0
2021-05-20	BAJA	0.0
2021-05-21	SUBE	0.0
2021-05-24	BAJA	0.0
2021-05-25	SUBE	0.0
2021-05-26	BAJA	0.0
2021-05-27	BAJA	0.0
2021-05-28	SUBE	0.0
2021-06-01	SUBE	0.0
2021-06-02	SUBE	0.0
2021-06-03	SUBE	0.0
2021-06-04	BAJA	0.0
2021-06-07	BAJA	0.0
2021-06-08	SUBE	-1.0
2021-06-09	SUBE	0.0
2021-06-10	BAJA	0.0
2021-06-11	BAJA	10.0
2021-06-14	BAJA	0.0
2021-06-15	SUBE	30.0
2021-06-16	BAJA	0.0
2021-06-17	BAJA	0.0
2021-06-18	BAJA	0.0
2021-06-21	SUBE	0.0
2021-06-22	BAJA	0.0
2021-06-23	BAJA	0.0
2021-06-24	BAJA	0.0
2021-06-25	SUBE	0.0
2021-06-28	BAJA	0.0
2021-06-29	SUBE	0.0
2021-06-30	SUBE	0.0
2021-07-01	SUBE	0.0
2021-07-02	SUBE	0.0
2021-07-06	SUBE	0.0
2021-07-07	SUBE	0.0
2021-07-08	BAJA	0.0
2021-07-09	BAJA	0.0
2021-07-12	BAJA	0.0
2021-07-13	SUBE	0.0
2021-07-14	SUBE	0.0
2021-07-15	SUBE	0.0
2021-07-16	SUBE	0.0
2021-07-19	BAJA	0.0
2021-07-20	BAJA	0.0
2021-07-21	SUBE	0.0
2021-07-22	SUBE	0.0
2021-07-23	SUBE	0.0
2021-07-26	BAJA	0.0
2021-07-27	SUBE	0.0
2021-07-28	SUBE	0.0
2021-07-29	BAJA	0.0
2021-07-30	BAJA	0.0
2021-08-02	BAJA	0.0
2021-08-03	SUBE	0.0
2021-08-04	SUBE	0.0
2021-08-05	SUBE	0.0
2021-08-06	SUBE	0.0
2021-08-09	BAJA	0.0
2021-08-10	SUBE	0.0
2021-08-11	SUBE	0.0
2021-08-12	BAJA	0.0
2021-08-13	SUBE	0.0
2021-08-16	SUBE	0.0
2021-08-17	SUBE	0.0
2021-08-18	BAJA	0.0
2021-08-19	SUBE	0.0
2021-08-20	SUBE	0.0
2021-08-23	BAJA	0.0
2021-08-24	SUBE	0.0
2021-08-25	BAJA	0.0
2021-08-26	SUBE	0.0
2021-08-27	BAJA	0.0
2021-08-30	BAJA	0.0
2021-08-31	BAJA	0.0
2021-09-01	BAJA	0.0
2021-09-02	SUBE	0.0
2021-09-03	BAJA	0.0
2021-09-07	BAJA	0.0
2021-09-08	SUBE	0.0
2021-09-09	BAJA	0.0
2021-09-10	SUBE	0.0
2021-09-13	BAJA	0.0
2021-09-14	BAJA	0.0
2021-09-15	BAJA	0.0
2021-09-16	BAJA	0.0
2021-09-17	BAJA	0.0
2021-09-20	SUBE	0.0
2021-09-21	BAJA	0.0
2021-09-22	BAJA	0.0
2021-09-23	SUBE	0.0
2021-09-24	BAJA	0.0
2021-09-27	BAJA	0.0
2021-09-28	SUBE	0.0
2021-09-29	BAJA	0.0
2021-09-30	SUBE	0.0
2021-10-01	SUBE	0.0
2021-10-04	SUBE	0.0
2021-10-05	SUBE	0.0
2021-10-06	BAJA	0.0
2021-10-07	BAJA	0.0
2021-10-08	SUBE	0.0
2021-10-11	BAJA	0.0
2021-10-12	BAJA	0.0
2021-10-13	BAJA	0.0
2021-10-14	BAJA	0.0
2021-10-15	BAJA	0.0
2021-10-18	BAJA	0.0
2021-10-19	SUBE	0.0
2021-10-20	BAJA	0.0
2021-10-21	BAJA	0.0
2021-10-22	BAJA	0.0
2021-10-25	BAJA	0.0
2021-10-26	SUBE	0.0
2021-10-27	SUBE	0.0
2021-10-28	BAJA	0.0
2021-10-29	BAJA	0.0
2021-11-01	BAJA	0.0
2021-11-02	BAJA	0.0
2021-11-03	BAJA	0.0
2021-11-04	SUBE	0.0
2021-11-05	SUBE	0.0
2021-11-08	BAJA	0.0
2021-11-09	SUBE	0.0
2021-11-10	BAJA	0.0
2021-11-11	SUBE	0.0
2021-11-12	SUBE	0.0
2021-11-15	SUBE	0.0
2021-11-16	BAJA	0.0
2021-11-17	BAJA	0.0
2021-11-18	SUBE	0.0
2021-11-19	BAJA	0.0
2021-11-22	SUBE	0.0
2021-11-23	SUBE	0.0
2021-11-24	BAJA	0.0
2021-11-26	SUBE	0.0
2021-11-29	BAJA	0.0
2021-11-30	BAJA	0.0
2021-12-01	SUBE	0.0
2021-12-02	SUBE	0.0
2021-12-03	SUBE	0.0
2021-12-06	BAJA	0.0
2021-12-07	BAJA	0.0
2021-12-08	BAJA	0.0
2021-12-09	SUBE	0.0
2021-12-10	BAJA	0.0
2021-12-13	SUBE	0.0
2021-12-14	BAJA	0.0
2021-12-15	BAJA	0.0
2021-12-16	SUBE	0.0
2021-12-17	BAJA	0.0
2021-12-20	SUBE	0.0
2021-12-21	BAJA	0.0
2021-12-22	BAJA	0.0
2021-12-23	BAJA	0.0
2021-12-27	BAJA	0.0
2021-12-28	SUBE	0.0
2021-12-29	SUBE	0.0
2021-12-30	BAJA	0.0
2021-12-31	SUBE	0.0
2022-01-03	BAJA	0.0
2022-01-04	SUBE	0.0
2022-01-05	SUBE	0.0
2022-01-06	SUBE	0.0
2022-01-07	SUBE	0.0
2022-01-10	BAJA	0.0
2022-01-11	BAJA	0.0
2022-01-12	BAJA	0.0
2022-01-13	SUBE	0.0
2022-01-14	BAJA	0.0
2022-01-18	BAJA	0.0
2022-01-19	SUBE	0.0
2022-01-20	SUBE	0.0
2022-01-21	SUBE	0.0
2022-01-24	BAJA	0.0
2022-01-25	BAJA	0.0
2022-01-26	SUBE	0.0
2022-01-27	SUBE	0.0
2022-01-28	BAJA	0.0
2022-01-31	BAJA	0.0
2022-02-01	SUBE	0.0
2022-02-02	SUBE	0.0
2022-02-03	BAJA	0.0
2022-02-04	BAJA	0.0
2022-02-07	SUBE	0.0
2022-02-08	BAJA	0.0
2022-02-09	SUBE	0.0
2022-02-10	SUBE	0.0
2022-02-11	SUBE	0.0
2022-02-14	BAJA	0.0
2022-02-15	BAJA	0.0
2022-02-16	BAJA	0.0
2022-02-17	SUBE	0.0
2022-02-18	SUBE	0.0
2022-02-22	SUBE	0.0
2022-02-23	SUBE	0.0
2022-02-24	BAJA	0.0
2022-02-25	BAJA	0.0
2022-02-28	BAJA	0.0
2022-03-01	SUBE	0.0
2022-03-02	BAJA	0.0
2022-03-03	SUBE	0.0
2022-03-04	SUBE	0.0
2022-03-07	SUBE	0.0
2022-03-08	BAJA	0.0
2022-03-09	BAJA	0.0
2022-03-10	SUBE	0.0
2022-03-11	SUBE	0.0
2022-03-14	SUBE	0.0
2022-03-15	BAJA	0.0
2022-03-16	BAJA	0.0
2022-03-17	BAJA	0.0
2022-03-18	BAJA	0.0
2022-03-21	BAJA	0.0
2022-03-22	BAJA	0.0
2022-03-23	BAJA	0.0
2022-03-24	BAJA	0.0
2022-03-25	BAJA	0.0
2022-03-28	BAJA	0.0
2022-03-29	SUBE	0.0
2022-03-30	BAJA	0.0
2022-03-31	SUBE	0.0
2022-04-01	BAJA	0.0
2022-04-04	BAJA	0.0
2022-04-05	SUBE	0.0
2022-04-06	SUBE	0.0
2022-04-07	BAJA	0.0
2022-04-08	SUBE	0.0
2022-04-11	SUBE	0.0
2022-04-12	SUBE	0.0
2022-04-13	BAJA	0.0
2022-04-14	SUBE	0.0
2022-04-18	BAJA	0.0
2022-04-19	BAJA	0.0
2022-04-20	SUBE	0.0
2022-04-21	SUBE	0.0
2022-04-22	SUBE	0.0
2022-04-25	BAJA	0.0
2022-04-26	SUBE	0.0
2022-04-27	SUBE	0.0
2022-04-28	SUBE	0.0
